p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
6.061810859996698e-275,1.4684914412472427,0.98,0.403,2.041678515755488e-270,8,EPCAM
6.103018896802181e-266,1.5839416012188452,1,0.65,2.0555577946319426e-261,8,CLDN6
9.399794416360305e-260,1.5028295217781178,1,0.971,3.165944757374314e-255,8,APOE
1.4392887834714831e-243,1.1600774868994126,1,0.978,4.847668551610302e-239,8,PRDX1
2.1309165325602844e-230,1.3864155568502219,1,0.992,7.177139973316294e-226,8,HSP90AA1
2.671856256609872e-202,1.3000088843551618,0.974,0.556,8.99907905788771e-198,8,L1TD1
1.0956924468850332e-200,1.0796994879228923,0.913,0.366,3.69040173035348e-196,8,IFITM1
2.1070042180963988e-198,1.2436576588287613,0.987,0.669,7.09660090697048e-194,8,HSP90B1
3.5596151343861457e-187,1.0882216530054278,0.92,0.382,1.1989139734125977e-182,8,RARRES2
3.0616654287461504e-182,1.1915384786673424,0.98,0.606,1.031199533055991e-177,8,UGP2
2.6592034884074857e-179,1.1230804388532851,0.965,0.567,8.956463269305253e-175,8,HSPA5
2.6617968436629046e-178,1.3495255115456448,0.996,0.789,8.96519794914103e-174,8,KRT18
1.2982507678682636e-177,1.0447070707855335,0.985,0.784,4.372638411257099e-173,8,SSB
1.675867390500373e-172,1.23614197393194,0.993,0.574,5.644488957944307e-168,8,POU5F1
4.309790946896497e-169,1.053509358330407,0.936,0.472,1.451580688824209e-164,8,EZR
1.0828884022803285e-168,1.2431269896834254,0.989,0.651,3.6472764277203745e-164,8,TERF1
1.537262327196082e-161,1.0682943110897192,1,0.999,5.177653244229124e-157,8,GSTP1
2.5820850051874033e-150,1.304746661998145,0.989,0.817,8.696720505971693e-146,8,FABP5
2.997713195516432e-138,1.0520277717788735,0.995,0.604,1.0096597813818894e-133,8,RP11-148B6.1
2.2818844517112643e-193,1.087937388842561,1,1,7.68561502180871e-189,9,ACTB
2.148559986084381e-178,0.903115534121345,1,0.999,7.236564889130804e-174,9,TUBB
8.115299290831129e-151,1.003253075448436,1,0.991,2.7333139541448324e-146,9,ENO1
3.955355420373815e-138,1.0513093290111928,0.994,0.978,1.3322032591361047e-133,9,PRDX1
6.29371794293894e-106,0.9059086546126935,0.977,0.94,2.1197871403612644e-101,9,ATP5B
4.275290025707515e-102,0.820107340793939,0.964,0.941,1.4399604335585483e-97,9,MORF4L1
8.060101991238069e-91,0.9947443346380731,0.937,0.863,2.714722951668894e-86,9,PGK1
3.7006956042158074e-82,1.2561036096121163,0.872,0.762,1.246431286455926e-77,9,KPNA2
4.1108051759277153e-81,0.8049458862206009,0.956,0.922,1.3845602913042137e-76,9,MORF4L2
2.584152682936566e-80,0.8522297030204116,0.987,0.951,8.703684651398649e-76,9,HSPA8
3.033894292793877e-71,0.8215174016479192,0.909,0.879,1.0218459367559057e-66,9,C1QBP
3.400950976530701e-69,0.8621401262483517,0.874,0.799,1.1454742984053053e-64,9,PHGDH
2.765783073411197e-65,0.799219993776878,0.918,0.841,9.315433969556253e-61,9,CYCS
3.739097132288022e-58,0.8607698741167358,0.935,0.893,1.2593653051259287e-53,9,LDHA
7.130411114506978e-52,0.8134049595315804,0.804,0.704,2.401593767477095e-47,9,TUBB4B
2.8349557666447276e-47,0.8925510875972353,0.876,0.823,9.548414517636106e-43,9,FABP5
8.511027019373646e-45,0.9767734423429844,0.781,0.672,2.8665990103952375e-40,9,UBE2C
1.940593395717211e-43,0.8562061563152672,0.651,0.492,6.536112616115139e-39,9,CCNB1
2.9121471791400406e-39,0.9305250302422365,0.752,0.587,9.80840291406157e-35,9,POU5F1
1.4916083601011453e-34,0.8102110216463108,0.716,0.619,5.0238861176566674e-30,9,UGP2
0,2.734252944802389,0.803,0.053,0,10,GDF15
0,2.3405238089490688,0.892,0.131,0,10,DDIT3
0,1.7781868823242168,0.811,0.128,0,10,CDKN1A
0,1.6981893013019675,0.605,0.015,0,10,TAC1
1.4168802384485955e-213,1.6958829943088367,0.911,0.299,4.7721943311187144e-209,10,BBC3
1.2729732757196956e-181,1.7318636993974095,0.838,0.263,4.287501289951507e-177,10,PMAIP1
1.401246327007475e-168,1.8197540887074726,1,0.971,4.719537753993876e-164,10,APOE
1.001041790254517e-160,1.7539742631701971,0.978,0.745,3.3716088537562386e-156,10,TCEA1
6.610849053401592e-152,2.296132120755276,0.922,0.497,2.22660006967619e-147,10,NEAT1
7.162242450501759e-152,1.6363159622321841,0.916,0.413,2.4123148797534973e-147,10,EPCAM
1.3652123401807878e-149,1.6752957049654882,0.946,0.548,4.5981716829629114e-145,10,SLC3A2
8.629536606493769e-147,1.9012375669697277,0.889,0.428,2.9065142244331665e-142,10,SQSTM1
2.8820557445133753e-145,1.6132838898327635,0.968,0.571,9.707051953095499e-141,10,PLA2G16
2.444820439718964e-139,1.6034357532599652,0.892,0.406,8.234399723017444e-135,10,ANXA2
2.217431956019921e-131,1.5580432400379436,0.951,0.507,7.468532571070696e-127,10,PDLIM1
1.430946303028748e-118,2.013670165725006,0.954,0.679,4.819570243231126e-114,10,DDIT4
8.9518113358642e-114,1.4482672444673756,0.997,0.894,3.0150595760324213e-109,10,UBC
2.5087393978736472e-98,1.5095147978038694,0.446,0.105,8.449685165978231e-94,10,ANXA1
7.582396189020962e-95,1.6655770591805839,0.851,0.479,2.55382686042415e-90,10,UPP1
1.6467008007540494e-62,1.8367851719450417,0.795,0.46,5.5462529670197136e-58,10,ISG15
2.4854724723751655e-129,1.351779320880686,0.779,0.178,8.371319834206795e-125,11,LRRC75A
6.773091601370793e-106,1.2992639151615017,0.636,0.137,2.281244982257697e-101,11,B3GNT7
2.090905067775062e-102,1.403312559934606,1,0.971,7.042377358773186e-98,11,SET
2.1062746015474825e-96,1.7141985007274223,0.995,0.662,7.094143485472076e-92,11,HNRNPH1
1.1420619108123689e-93,1.138655479175261,0.718,0.192,3.8465787218071395e-89,11,C1orf56
9.47274589621707e-87,1.4893648909880182,0.949,0.547,3.1905155453048716e-82,11,CTNNB1
6.520673333085646e-76,1.3533043979944996,0.821,0.342,2.1962279853165765e-71,11,PIM2
8.939773176884419e-72,1.0431836630734503,1,1,3.0110050037064414e-67,11,TMSB4X
6.112892690797934e-71,1.1655186170888063,0.836,0.332,2.0588833871876521e-66,11,PODXL
8.903726701501515e-67,1.460791864196239,0.959,0.661,2.9988641903327252e-62,11,TERF1
6.643953430154365e-65,1.0688064957810834,0.667,0.236,2.2377499548102916e-60,11,INSR
2.3089224902465748e-61,1.1290042989643445,0.79,0.299,7.776681839399489e-57,11,TDGF1
9.591102348500421e-59,1.2345663069362673,0.841,0.366,3.230379181998427e-54,11,RP11-568A7.4
