"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
3.59164313683172e-23,0.0451159323224612,0.137,0.079,1.20970132491629e-18,"IPO4"
3.65943704802248e-23,0.102911915644214,0.624,0.501,1.23253499214445e-18,"PSMD14"
5.68835483284062e-23,0.115188014034306,0.963,0.897,1.91589479124905e-18,"HNRNPDL"
6.28476912663486e-23,0.0433875168774511,0.196,0.126,2.11677308954189e-18,"CCZ1B"
6.41900821909562e-23,0.0945513763261011,0.489,0.378,2.1619861582736e-18,"PRKCDBP"
6.45141042717409e-23,-0.273693047630619,0.504,0.54,2.17289954597651e-18,"SLC2A3"
6.45222238621523e-23,0.0653989946834601,0.326,0.234,2.17317302190115e-18,"SVIP"
6.84495609373957e-23,0.118286240390474,0.905,0.818,2.30544966193242e-18,"KDELR1"
6.9391027146574e-23,0.0647844897867936,0.372,0.273,2.33715918532376e-18,"HAT1"
7.03940088605516e-23,0.0612592967661658,0.474,0.355,2.37094061243224e-18,"BZW2"
7.11369940382623e-23,0.105384064927159,0.984,0.955,2.39596509620271e-18,"ERH"
7.16587066806967e-23,-0.0571300501177099,1,1,2.41353689971254e-18,"RPL10"
7.24264366309076e-23,0.155032729108676,0.926,0.868,2.4393948121656e-18,"CKB"
7.67328554041914e-23,0.0523935239452938,0.234,0.157,2.58443930286857e-18,"RAD51"
8.57273196617587e-23,0.0984297608749412,0.602,0.483,2.88738185352769e-18,"TYMS"
1.38711730558844e-22,0.0636218296232545,0.349,0.253,4.67194979695242e-18,"RAD51AP1"
1.96071034443125e-22,0.0803692610324751,0.528,0.41,6.60386851107891e-18,"PSMD13"
2.46680100526927e-22,0.0557042938830674,0.275,0.191,8.30843246584743e-18,"CKLF"
3.09572764179923e-22,0.1238726894477,0.897,0.817,1.0426720270344e-17,"CALM1"
3.17698762620029e-22,0.0845749844025667,0.65,0.518,1.07004120238052e-17,"BZW1"
3.54983046060798e-22,0.0630047362736478,0.477,0.36,1.19561839743737e-17,"MPDU1"
3.70025821673559e-22,0.0634568372256474,0.449,0.339,1.24628396997871e-17,"PEPD"
4.05857916866829e-22,0.0762364059369049,0.598,0.475,1.36697004979917e-17,"SRP19"
4.15941759448659e-22,0.115558465065284,0.852,0.756,1.40093343999903e-17,"WBP5"
4.24952292604588e-22,0.0654399781517004,0.279,0.195,1.43128181672151e-17,"GGH"
