"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"BOP1";1.33467541367244e-20;0.0538902765462535;0.339;0.248;4.49705533882793e-16
"PPP2CA";1.49531852713588e-20;0.0786198648938948;0.629;0.508;5.03832624533164e-16
"MT1E";1.51953774840044e-20;-0.415972240594441;0.252;0.315;5.11993048946045e-16
"NDN";1.51969465488949e-20;0.0642017810830375;0.483;0.371;5.12045917018466e-16
"UBE2N";1.53406568547451e-20;0.091309474701154;0.763;0.645;5.16888092063782e-16
"DNAJC9";1.63498719593402e-20;0.0690164963107989;0.462;0.357;5.50892585798009e-16
"AAMP";1.99119541791208e-20;0.0652919912922166;0.563;0.441;6.70913384111295e-16
"PRIM2";2.02917301683884e-20;0.0396184407373546;0.224;0.151;6.83709556293679e-16
"PSMC2";2.11875122290034e-20;0.0618051427823795;0.487;0.374;7.1389203704404e-16
"APOO";2.24724236353743e-20;0.0622472286150019;0.549;0.428;7.571858419703e-16
"MTHFS";2.27073740714492e-20;0.0352294090102764;0.173;0.11;7.65102261963408e-16
"PEG10";2.34266100176041e-20;0.0767788051848329;0.462;0.358;7.89336197933153e-16
"FAM64A";2.42331369646519e-20;0.0798572752857566;0.533;0.423;8.1651131688698e-16
"RFC2";2.43652015833103e-20;0.0666288069738086;0.46;0.352;8.20961102148057e-16
"CENPU";2.48875271717409e-20;0.073658486091959;0.562;0.445;8.38560340524638e-16
"POLD1";2.50559684711614e-20;0.0361648971322143;0.179;0.116;8.44235801667311e-16
"NSMCE4A";2.79779741236873e-20;0.0743197354990413;0.564;0.446;9.42689860123519e-16
"C16orf59";2.85426567748537e-20;0.0576302752679634;0.361;0.268;9.61716277371922e-16
"SMC2";2.93439701142625e-20;0.0559865639581566;0.386;0.288;9.88715729029961e-16
"RPS12";3.1320404645392e-20;-0.0562984953887522;1;1;1.05530971412184e-15
"ISYNA1";3.1790366215142e-20;0.0963337724022715;0.704;0.577;1.07114459925299e-15
"PAM16";3.22299815800097e-20;-0.0637471533471832;0.046;0.087;1.08595699935685e-15
"GINS2";3.63720947594887e-20;0.0927747696947603;0.676;0.559;1.22552136082621e-15
"GCDH";3.71140453913781e-20;0.0408275206395454;0.244;0.167;1.25052064541709e-15
"CENPW";4.04282361852684e-20;0.112605845291076;0.758;0.65;1.36218899002643e-15
"MCM5";4.37713736169826e-20;0.0653905039296062;0.425;0.324;1.47483266265061e-15
"PSMD6";4.56817753815967e-20;0.0841134417402705;0.539;0.428;1.53920173970752e-15
"DPM1";4.57518944750456e-20;0.0576944352266878;0.43;0.326;1.54156433244219e-15
"EBNA1BP2";5.62585557754782e-20;0.0697516273022415;0.512;0.398;1.89557577829896e-15
"AC004556.1";7.0242965836935e-20;0.0606977551973263;0.499;0.388;2.36676649090969e-15
"TOR3A";7.07468095163701e-20;0.0461564668309775;0.249;0.173;2.38374299984458e-15
"SDHB";7.09225811791157e-20;0.0609479581019888;0.468;0.358;2.38966545024912e-15
"TP53I3";7.73674533384956e-20;0.0495880136524548;0.308;0.222;2.60681897278727e-15
"RPS23";8.15928545722079e-20;-0.0478325807961593;1;1;2.74918964195597e-15
"NDUFA9";1.01009932472312e-19;0.0559712121476471;0.487;0.376;3.40342866472207e-15
"RBMXL1";1.01708881385597e-19;0.0429258645801388;0.238;0.164;3.42697904940632e-15
"DHRS4L2";1.01850269995381e-19;0.0495292010197263;0.392;0.293;3.43174299722436e-15
"CHAF1A";1.08494566502831e-19;0.062392184036137;0.481;0.373;3.6556159237464e-15
"MT2A";1.16132645334349e-19;-0.4203198588134;0.422;0.472;3.91297335189555e-15
"TSFM";1.22962573297138e-19;0.0513362191021369;0.36;0.266;4.14310094467376e-15
"ARMC1";1.6046127513483e-19;0.0470646232487171;0.307;0.222;5.40658220439296e-15
"CENPM";1.6926077105306e-19;0.0617506589699355;0.465;0.361;5.70307241986181e-15
"RARS";1.83170054305183e-19;0.0615331611703795;0.397;0.3;6.17173180975883e-15
"IFT57";1.88051007996625e-19;0.0856908265531821;0.519;0.408;6.33619066343828e-15
"SF3B4";1.90946504434091e-19;0.0625269084063645;0.51;0.394;6.43375152040227e-15
