"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
4.8547130758953e-06,0.00789967964981148,0.364,0.3,0.16351159110923,"ROCK1"
4.85484301825669e-06,0.0115710337698607,0.36,0.296,0.163515967697904,"PEX19"
4.85569937865838e-06,0.00496123281321925,0.309,0.25,0.163544810772593,"ANKRD39"
4.87854772574545e-06,0.0106441597560631,0.101,0.073,0.164314365950832,"TOP3B"
4.88202815521056e-06,0.0128589369378742,0.377,0.312,0.164431590295647,"CREM"
4.88218486531691e-06,0.0123754650192007,0.222,0.177,0.164436868448739,"ANKRD9"
4.88534939151059e-06,0.0279682358719384,1,1,0.164543452855468,"RPS7"
4.9081564887342e-06,0.00997057950887389,0.161,0.124,0.165311618697057,"ZNF71"
4.92672292868628e-06,0.00486673232589324,0.268,0.214,0.165936954961082,"DIMT1"
4.94631784182783e-06,0.0144158425021023,0.122,0.091,0.166596931230603,"ALKBH1"
4.94663591873099e-06,0.0112294821022282,0.321,0.262,0.166607644378779,"C19orf81"
4.99758389859655e-06,0.00658746047710029,0.171,0.132,0.168323623288631,"NCAPH"
5.00241082459887e-06,0.0235515010675144,0.518,0.44,0.168486198983314,"IDH3B"
5.00829229699894e-06,0.00577232453476484,0.325,0.263,0.168684292855221,"ERGIC1"
5.05822283391906e-06,0.0143558913907965,0.164,0.126,0.170366003269228,"TMEM8A"
5.06675705658391e-06,0.0121597753048452,0.172,0.133,0.170653444422803,"DZIP1"
5.1457206705622e-06,0.00797513603212363,0.237,0.189,0.173313017905205,"ZNF618"
5.14664460554887e-06,0.0105333761356325,0.287,0.232,0.173344136959491,"MSH2"
5.16223988599755e-06,0.0122323047512223,0.144,0.109,0.173869401600284,"FUCA1"
5.19269005343828e-06,0.0156531240143837,0.388,0.323,0.174894993689855,"ADSS"
5.23947651794464e-06,0.0157458285205894,0.125,0.094,0.176470808600893,"IDH3A"
5.26025801324011e-06,0.0123713629224039,0.203,0.16,0.17717075014394,"IQCB1"
5.29525447581444e-06,0.0148170130460505,0.134,0.101,0.178349465999906,"STX2"
5.29529967118348e-06,0.0194226301676007,0.1,0.072,0.178350988225131,"GNG12"
5.33054866925125e-06,0.0325980575864983,0.63,0.547,0.179538209729051,"TMEM126B"
5.34843138704699e-06,0.00631109723634582,0.195,0.153,0.18014051754713,"NDC80"
5.35140733225647e-06,-0.000686627875356366,0.175,0.134,0.18024075035773,"GTF3C3"
5.38967175680594e-06,0.0349293768467724,0.996,0.991,0.181529534440981,"EEF1D"
5.45922275177387e-06,0.013698027285348,0.109,0.08,0.183872081502496,"LINC00526"
5.47964834796832e-06,0.0147774397041684,0.22,0.174,0.184560036007921,"CYB5R2"
5.50714470761579e-06,0.00200621525778594,0.368,0.301,0.185486140897207,"VOPP1"
5.52949650117885e-06,0.0105901703953804,0.312,0.254,0.186238971656205,"FUNDC1"
5.53177107896914e-06,0.0104362021144421,0.266,0.216,0.18631558171076,"FAT1"
5.55614662399939e-06,0.00726992639372226,0.234,0.187,0.187136574442923,"PRMT6"
5.58063709898231e-06,0.017104727759612,0.663,0.566,0.187961438130823,"PCMT1"
