"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"MRPS28";3.28543823334097e-15;0.0479963094664407;0.256;0.181;1.10656845137157e-10
"POLD1";4.23709248702384e-15;0.0366836304952286;0.187;0.123;1.4270951205545e-10
"CNTNAP2";4.44130755658222e-15;0.0836015884336523;0.492;0.388;1.49587679813246e-10
"KIAA0101";4.7865110745691e-15;0.132252581493826;0.72;0.628;1.61214479502562e-10
"PPA1";5.05205053595353e-15;0.111379475067087;0.882;0.795;1.70158114101451e-10
"EEF2";5.12434615323639e-15;0.0849071895814641;0.999;0.997;1.72593102787155e-10
"IPO4";5.24310784312504e-15;0.0402760159808901;0.139;0.085;1.76593115264295e-10
"EWSR1";5.44856859265892e-15;0.0951001992333851;0.772;0.662;1.83513238769345e-10
"XRCC5";5.84518879101693e-15;0.112393119077983;0.86;0.776;1.96871803670241e-10
"H3F3A";5.88845228867314e-15;0.0575598738866665;1;1;1.983289615348e-10
"ATP5H";6.56215830243294e-15;0.0954001501253452;0.833;0.737;2.21020053784244e-10
"UFD1L";7.54735951493939e-15;0.0594355399739555;0.48;0.376;2.54202615822674e-10
"GLRX3";8.98523264172294e-15;0.102727166385795;0.698;0.593;3.02631620605871e-10
"FABP7";9.05642939366396e-15;0.140734379100265;0.489;0.395;3.05029598407996e-10
"TCEAL8";9.20968904454468e-15;0.0887818009693255;0.886;0.794;3.10191536709309e-10
"PNO1";9.41646578093352e-15;0.0430815708897667;0.312;0.228;3.17155983967622e-10
"WDR77";9.54083233822226e-15;0.0657598588336296;0.45;0.351;3.21344773983664e-10
"LOXL1";1.02402984214006e-14;0.0383254238589318;0.272;0.193;3.44903491131194e-10
"SVIP";1.05405693027237e-14;0.056893042953386;0.323;0.239;3.55016914685039e-10
"RAD51";1.10194631074904e-14;0.0430454131264071;0.24;0.168;3.71146536923385e-10
"N6AMT2";1.12295696484091e-14;0.0400467136278492;0.205;0.139;3.78223135328067e-10
"ERH";1.33683778725175e-14;0.0894474924332744;0.988;0.964;4.50260335124261e-10
"CDK4";1.39490626834283e-14;0.0974312406239402;0.894;0.818;4.69818380240548e-10
"ADSL";1.39736230555273e-14;0.0804136191061026;0.586;0.479;4.70645598133215e-10
"TFDP1";1.55885550509594e-14;0.0527119076628714;0.393;0.297;5.25038122671365e-10
"SNX7";1.6259162512554e-14;0.0416532921435098;0.23;0.159;5.47624852585332e-10
"ATP5B";1.69110033886028e-14;0.098094438706358;0.97;0.919;5.69579505131529e-10
"EIF4A3";1.77030460494933e-14;0.0727592560975214;0.487;0.387;5.96256293992985e-10
"SUCLG2";1.79166137561494e-14;0.0474848206057115;0.262;0.187;6.03449467920866e-10
"NDUFB11";1.88785233888134e-14;0.0889133861914306;0.98;0.956;6.35847546258626e-10
"PHGDH";1.9011042921761e-14;0.0996428202846815;0.852;0.767;6.40310936647833e-10
"GMNN";1.92642881391305e-14;0.0807203787073164;0.593;0.484;6.48840488814055e-10
"CMPK1";2.23810383318547e-14;0.0423427439899061;0.332;0.244;7.53815752055199e-10
"NME1";2.47428544422285e-14;0.109383030950553;0.882;0.815;8.33364080468697e-10
"VRK1";2.52714126969828e-14;0.0523970656744402;0.391;0.296;8.51166451047076e-10
"BOP1";2.64205391403803e-14;0.0504395281391776;0.353;0.264;8.89870178787147e-10
"ATP5G2";2.83033819461206e-14;0.083165839119141;1;0.999;9.53286207327289e-10
"UNG";2.90782462518122e-14;0.0642225402521347;0.442;0.341;9.79384412007286e-10
"SMU1";3.07809607628687e-14;0.0434413314501295;0.286;0.207;1.03673353945418e-09
"NDUFB6";3.22489419365536e-14;0.0785441909486242;0.746;0.633;1.08617661336506e-09
"AAMP";3.40550417354972e-14;0.0583916576611155;0.572;0.455;1.14700786069328e-09
"GCDH";3.53636552791842e-14;0.0367734583950756;0.238;0.166;1.1910832734582e-09
"LTA4H";3.60489491590744e-14;0.0806887480126856;0.713;0.594;1.21416465662679e-09
"DLD";3.77271534546465e-14;0.0488262255464125;0.386;0.292;1.27068825550595e-09
